Neighborhood,YR_2018,Job_17_18
12th Avenue,5605,134
23rd & Union-Jackson,5636,792
Admiral,1418,-103
Aurora-Licton Springs,2361,-14
Ballard,8081,544
Ballard-Interbay-Northend,16306,-1327
Belltown,22499,934
Bitter Lake Village,4415,-79
Capitol Hill,6431,11
Chinatown-International District,11145,-50
Columbia City,3203,302
Commercial Core,105531,3523
Crown Hill,1279,394
Denny Triangle,29991,3835
Downtown,184999,10094
Eastlake,5112,-983
First Hill,24032,777
First Hill/Capitol Hill,43867,1224
Fremont,7810,353
Greater Duwamish,66920,-165
Green Lake,2192,271
Greenwood-Phinney Ridge,2277,173
Lake City,1552,-25
Madison-Miller,1775,150
Morgan Junction,622,-809
Mt Baker,4675,309
North Beacon Hill,1297,692
Northgate,12226,-207
Othello,1578,951
Outside Villages,94752,3894
Pike/Pine,7799,290
Pioneer Square,15832,573
Rainier Beach,1155,-85
Ravenna,3589,-41
Roosevelt,1841,161
South Lake Union,62661,8242
South Park,1349,49
University Campus,27022,-2600
University District,35838,-3117
University District Northwest,5227,-302
Upper Queen Anne,1569,-469
Uptown,14710,415
Wallingford,3023,-334
West Seattle Junction,4011,117
Westwood-Highland Park,1635,69
